File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUQueryBundleTreeNode.java,119,102,65,13,17,0,0,0,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUReportBundleTreeNode.java,87,70,49,9,17,0,0,0,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUTableBundleTreeNode.java,92,75,54,9,17,0,0,0,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\bean\ui\tree\server\bundle\SUViewBundleTreeNode.java,86,69,48,9,17,0,0,0,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\dao\impl\DatabaseDAOImpl.java,560,444,319,69,87,0,29,88,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\dao\inter\AbstractDatabase.java,165,113,91,16,22,0,30,87,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\dao\inter\DatabaseDAOInter.java,64,36,35,0,24,0,4,6,0,0
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\popup\ClipBoard\MyClipBoard.java,36,21,18,1,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\util\FileUtility.java,49,34,27,4,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\util\ImageUtil.java,34,20,16,3,5,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\util\LogUtil.java,23,9,6,1,5,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\util\MouseUtil.java,29,14,10,3,6,0,9,37,5,31
C:\WorkSpace\gitHub\speedup\src\main\java\com\bsptechs\main\util\Util.java,107,85,54,12,11,1,11,71,5,31
